age,Medu,Fedu,traveltime_x,studytime_x,failures_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,traveltime_y,studytime_y,failures_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,Label,marks
0.4285714285714284,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.75,0.0,0.0,0.5,0.30000000000000004,0.125,0.07142857142857145,0.30000000000000004,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.75,0.0,0.0,0.5,0.2857142857142857,0.30952380952380953,0.4,1,11.0
0.2857142857142856,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.2,0.125,0.0,0.30000000000000004,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.14285714285714285,0.2857142857142857,0.4,1,11.0
0.0,0.25,0.25,0.0,0.3333333333333333,1.0,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.2142857142857143,0.5,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.25,0.5,0.5,0.42857142857142855,0.5,0.6,0,12.0
0.0,1.0,0.5,0.0,0.6666666666666667,0.0,0.5,0.25,0.25,0.0,0.0,1.0,0.1,0.75,0.6428571428571429,0.75,0.0,0.6666666666666667,0.0,0.5,0.25,0.25,0.0,0.0,1.0,0.0,0.6428571428571429,0.7000000000000001,2,14.0
0.1428571428571428,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.25,1.0,0.2,0.1875,0.3571428571428571,0.5,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,0.4285714285714286,0.6,2,13.0
0.1428571428571428,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.0,0.25,1.0,0.5,0.75,0.7142857142857143,0.75,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.0,0.25,1.0,0.42857142857142855,0.5,0.5000000000000001,2,13.0
0.1428571428571428,0.5,0.5,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.5625,0.5,0.55,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.5714285714285714,0.5000000000000001,1,13.0
0.2857142857142856,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.30000000000000004,0.1875,0.0,0.30000000000000004,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.14285714285714285,0.3571428571428571,0.6,1,13.0
0.0,0.75,0.5,0.0,0.3333333333333333,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.8125,0.9285714285714285,0.9500000000000001,0.0,0.3333333333333333,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.7142857142857143,0.9,1,17.0
0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.7142857142857143,0.75,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5000000000000001,2,13.0
0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.25,0.25,0.0,0.4375,0.2142857142857143,0.45,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.25,0.25,0.14285714285714285,0.6428571428571429,0.7000000000000001,1,14.0
0.0,0.5,0.25,0.6666666666666667,0.6666666666666667,0.0,1.0,0.25,0.25,0.0,0.0,0.75,0.2,0.4375,0.5,0.6000000000000001,0.6666666666666667,0.6666666666666667,0.0,1.0,0.25,0.25,0.0,0.0,0.75,0.0,0.3571428571428571,0.5000000000000001,2,13.0
